名称,最低价格（万）,最高价格（万）,产品图片链接
探岳,18.59,31.39,http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg
途岳,16.58,22.38,http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png
途观L,21.88,31.18,http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png
途昂,29.99,50.59,http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png
途铠,11.49,15.99,http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png
探歌,13.58,20.38,http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png
探影,11.49,15.99,http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg
途观,19.48,23.18,http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg
探岳X,23.58,29.58,http://img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg
途昂X,28.99,43.99,http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg
途锐,56.98,82.18,http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png
途观L 插电混动,26.58,32.58,http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png
探岳GTE 插电混动,24.98,25.98,http://img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg
Tiguan,23.98,35.08,http://img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png
途锐 插电混动,,,http://img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg
